의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2114744,21,공직선거법 일부개정법률안,민형배의원 등 11인,민형배,"김승원,김영배,김철민,박성준,소병훈,송재호,유정주,윤미향,윤준병,임종성",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2T2Z0M2H0Q8B1P0C2M6T1Z1D1W3I9&ageFrom=21&ageTo=21,행정안전위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2T2Z0M2H0Q8B1P0C2M6T1Z1D1W3I9
2114742,21,문화재 활용 진흥에 관한 법률안,박정의원 등 10인,박정,"김승원,서삼석,송옥주,양기대,오영환,유정주,이병훈,이성만,조승래",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2K2D0P2R1P0H1Q8L2W2U5R8Z6Z7A2&ageFrom=21&ageTo=21,문화체육관광위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2K2D0P2R1P0H1Q8L2W2U5R8Z6Z7A2
2114741,21,대리점거래의 공정화에 관한 법률 일부개정법률안,민형배의원 등 13인,민형배,"김영배,김의겸,김철민,문진석,박성준,소병훈,송재호,윤미향,윤준병,이정문,임종성,정필모",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2E2S0N2T0J8V1L0D2Q5H3V1X9C4D4&ageFrom=21&ageTo=21,정무위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2E2S0N2T0J8V1L0D2Q5H3V1X9C4D4
2114740,21,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,민형배의원등13인,민형배,"김영배,김의겸,김철민,문진석,박성준,소병훈,송재호,윤미향,윤준병,이정문,임종성,정필모",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2N2K0E2B0V8W1J0R2B4B5W6J6T1J8&ageFrom=21&ageTo=21,정무위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2N2K0E2B0V8W1J0R2B4B5W6J6T1J8
2114739,21,목재의 지속가능한 이용에 관한 법률 일부개정법률안,어기구의원 등 10인,어기구,"김정호,김주영,박상혁,박정,송갑석,윤준병,이병훈,허종식,홍영표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2L2O0Q2Q0R8M1K7R2T9T4S9C0Z6I2&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2L2O0Q2Q0R8M1K7R2T9T4S9C0Z6I2
2114738,21,종합부동산세법 일부개정법률안,홍익표의원 등 12인,홍익표,"강병원,김민기,문진석,안호영,윤영찬,이원욱,이재정,이학영,이형석,정태호,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O1D0L8G3E0T1Q3Z5I7X5H3X3J5M0&ageFrom=21&ageTo=21,기획재정위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2O1D0L8G3E0T1Q3Z5I7X5H3X3J5M0
2114737,21,평생교육법 일부개정법률안,윤재갑의원 등 10인,윤재갑,"문진석,설훈,신정훈,위성곤,이개호,이학영,전용기,조경태,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2M2A0W2P1K0H1K0G5O8K3X2S2L3E8&ageFrom=21&ageTo=21,교육위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2M2A0W2P1K0H1K0G5O8K3X2S2L3E8
2114736,21,오존층 보호를 위한 특정물질의 제조규제 등에 관한 법률 일부개정법률안,이학영의원 등 10인,이학영,"김경만,신정훈,우원식,윤재갑,이동주,이장섭,이해식,한준호,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2K2W0L1F0S6N1B4X5C9I1H8V7V0B8&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_X2K2W0L1F0S6N1B4X5C9I1H8V7V0B8
2114735,21,환경친화적 자동차의 개발 및 보급 촉진에 관한 법률 일부개정법률안,이학영의원 등 10인,이학영,"김경만,김민철,신정훈,우원식,윤재갑,이동주,이장섭,한준호,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2T1F0P9F1X6Z1H7D5R6O1I1H3J0H9&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2T1F0P9F1X6Z1H7D5R6O1I1H3J0H9
2114732,21,세계유산의 보존·관리 및 활용에 관한 특별법 일부개정법률안,배준영의원 등 10인,배준영,"구자근,김예지,박완수,안병길,전주혜,조명희,조수진,최춘식,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2T1E1J2C0M7O1M4A3G3T3J2H7L3I3&ageFrom=21&ageTo=21,문화체육관광위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2T1E1J2C0M7O1M4A3G3T3J2H7L3I3
2114731,21,의료법 일부개정법률안,강병원의원 등 10인,강병원,"김민석,김정호,서영석,양향자,윤영찬,이수진,이수진,임종성,최혜영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2K1K1N2G3K0G1R4V5K1M5F7D8Y1I7&ageFrom=21&ageTo=21,보건복지위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2K1K1N2G3K0G1R4V5K1M5F7D8Y1I7
2114730,21,국가재난관리위원회의 설치와 운영에 관한 법률안,박주민의원 등 10인,박주민,"남인순,류호정,박성준,윤관석,이탄희,천준호,최강욱,최혜영,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2W1I0W7M2V2A2D0B1L1W1A8G3V5T2&ageFrom=21&ageTo=21,행정안전위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2W1I0W7M2V2A2D0B1L1W1A8G3V5T2
2114729,21,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,이학영의원 등 10인,이학영,"김경만,신정훈,우원식,윤재갑,이동주,이장섭,이해식,한준호,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2I2F0E1N0E6S1G5M0F0H4G6X9W1J9&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2I2F0E1N0E6S1G5M0F0H4G6X9W1J9
2114728,21,감염병의 예방 및 관리에 관한 법률 일부개정법률안,고민정의원 등 14인,고민정,"김민석,김성주,남인순,박정,서영석,오영환,유정주,이탄희,장철민,조오섭,최종윤,한병도,허종식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2S2R0P2M0C7Y1X6E2T8Q0L4K4A2S5&ageFrom=21&ageTo=21,보건복지위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C2S2R0P2M0C7Y1X6E2T8Q0L4K4A2S5
